,gen,effmax_R,effmin_R,effstd_R,effavg_R
0,0,0.03846658375074574,0.03846658375074574,0.0,0.03846658375074574
1,1,0.05747224754098801,0.05747224754098801,0.0,0.05747224754098801
2,2,0.05929392310802728,0.05929392310802728,0.0,0.05929392310802728
3,3,0.07530523007856071,0.07530523007856071,0.0,0.07530523007856071
4,4,0.07530523007856071,0.07530523007856071,0.0,0.07530523007856071
5,5,0.0902103819557053,0.0902103819557053,0.0,0.0902103819557053
6,6,0.09683988756188178,0.09683988756188178,0.0,0.09683988756188178
